Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:53:43,24-05-2024 08:53:44,1.071s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:53:44,24-05-2024 08:53:45,0.610s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:53:45,24-05-2024 08:53:46,1.410s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:53:46,24-05-2024 08:53:47,1.092s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:53:47,24-05-2024 08:53:48,0.620s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:53:48,24-05-2024 08:53:51,3.008s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:53:51,24-05-2024 08:53:53,2.186s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:53:53,24-05-2024 08:53:54,0.608s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:53:54,24-05-2024 08:54:10,15.729s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:53:54,24-05-2024 08:53:55,0.881s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:53:55,24-05-2024 08:53:58,3.391s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:53:58,24-05-2024 08:53:58,0.282s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:53:58,24-05-2024 08:53:59,0.858s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:53:59,24-05-2024 08:54:00,1.033s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:00,24-05-2024 08:54:01,0.635s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:54:01,24-05-2024 08:54:02,1.368s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:54:02,24-05-2024 08:54:03,1.069s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:03,24-05-2024 08:54:04,0.637s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:54:04,24-05-2024 08:54:07,3.005s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:54:07,24-05-2024 08:54:09,2.075s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:54:09,24-05-2024 08:54:10,0.474s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:54:10,24-05-2024 08:54:25,15.515s,PASSED
