Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:54:43,06-06-2024 13:54:44,1.007s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:54:44,06-06-2024 13:54:45,0.341s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:45,06-06-2024 13:54:50,5.841s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:45,06-06-2024 13:54:45,0.833s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:45,06-06-2024 13:54:48,2.746s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:48,06-06-2024 13:54:48,0.232s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:48,06-06-2024 13:54:49,0.608s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:54:49,06-06-2024 13:54:50,0.475s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:54:50,06-06-2024 13:54:50,0.913s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:50,06-06-2024 13:54:59,8.955s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:50,06-06-2024 13:54:51,0.794s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:51,06-06-2024 13:54:54,2.778s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:54,06-06-2024 13:54:54,0.235s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:54,06-06-2024 13:54:55,0.828s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:54:55,06-06-2024 13:54:56,0.505s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:54:56,06-06-2024 13:54:56,0.571s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:54:56,06-06-2024 13:54:58,1.353s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:54:58,06-06-2024 13:54:58,0.538s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:54:58,06-06-2024 13:54:59,1.033s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:54:59,06-06-2024 13:54:59,0.295s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:59,06-06-2024 13:55:05,5.671s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:59,06-06-2024 13:55:00,0.880s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:00,06-06-2024 13:55:03,2.412s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:03,06-06-2024 13:55:03,0.232s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:03,06-06-2024 13:55:04,0.817s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:04,06-06-2024 13:55:04,0.462s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:04,06-06-2024 13:55:05,0.844s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:05,06-06-2024 13:55:15,9.684s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:05,06-06-2024 13:55:06,0.767s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:06,06-06-2024 13:55:09,2.602s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:09,06-06-2024 13:55:09,0.136s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:09,06-06-2024 13:55:10,0.826s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:10,06-06-2024 13:55:10,0.497s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:10,06-06-2024 13:55:11,0.559s,PASSED
