Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 114.0.0.0,,,06-06-2024 14:14:06,06-06-2024 14:19:17,5m - 11.006s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 114.0.0.0,,,06-06-2024 14:14:06,06-06-2024 14:14:15,8.610s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 14:14:06,06-06-2024 14:14:09,2.132s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 14:14:09,06-06-2024 14:14:11,2.567s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 14:14:11,06-06-2024 14:14:11,0.244s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 14:14:11,06-06-2024 14:14:12,0.883s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 14:14:12,06-06-2024 14:14:13,0.471s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 114.0.0.0,,,06-06-2024 14:14:13,06-06-2024 14:14:13,0.473s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 114.0.0.0,,,06-06-2024 14:14:13,06-06-2024 14:14:14,0.908s,PASSED
"setEncryptedText(findTestObject(""Page_Login/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 14:14:14,06-06-2024 14:14:15,0.456s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 114.0.0.0,,,06-06-2024 14:14:15,06-06-2024 14:14:21,6.183s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 14:14:15,06-06-2024 14:14:16,1.117s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 14:14:16,06-06-2024 14:14:18,2.333s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 14:14:18,06-06-2024 14:14:18,0.175s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 14:14:18,06-06-2024 14:14:19,0.410s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 14:14:19,06-06-2024 14:14:19,0.501s,PASSED
